Student,LPIPS,SSIM
112598057.jpg,0.0,1.0
112C71014.jpg,0.3002437651157379,0.793747519471176
112C71002.jpg,0.3070886433124542,0.785651705285144
112598038.jpg,0.3285657465457916,0.7863377506773975
112598067.jpg,0.35755446553230286,0.7604727306440356
112598033.jpg,0.3868717551231384,0.7673259778255482
112C52004.jpg,0.4558700621128082,0.7153701020807257
110599004.jpg,0.4724576771259308,0.7177532792044475
